Algeria,14
Angola,115
Nigeria,112
Ethiopia,911
Egypt,123
DR Congo,118
Tanzania,114
South Africa,10177
Kenya,999
Uganda,911
Sudan,999
Morocco,15
Mozambique,117
Ghana,116
Madagascar,124
Cameroon,112
Niger,112
Burkina Faso,112
Mali,15
Malawi,998
Zambia,999
Senegal,18
Chad,22514242
Somalia,999
Zimbabwe,999
Guinea,18
Rwanda,912
Benin,112
Burundi,112
Tunisia,190
South Sudan,999
Togo,8200
Sierra Leone,999
Libya,1515
Congo,117
Liberia,911
Central African Republic,1220
Mauritius,114
Eritrea,114
Namibia,10112
Gambia,116
Botswana,997
Gabon,1300
Lesotho,121
Guinea Bissau,121
Equatorial Guinea,115
Mauritius,15
Eswatini,182
Djibouti,19
Comoros,7720373
Cabo Verde,130
Sao Tome and Principe,112
Seychelles,112
Mayotte,112
Saint Helena,999
Western Sahara,150
Reunion,112
Swaziland,977
